"id","biome"
"1","Sub/Tropical Moist Broadleaf Forest"
"2","Sub/Tropical Dry Broadleaf Forest"
"3","Sub/Tropical Coniferous Forest"
"4","Temperate Broadleaf/Mixed Forest"
"5","Temperate Coniferous Forest"
"6","Boreal Forest/Taiga"
"7","Sub/Tropical Grassland/Savanna/Shrubland"
"8","Temperate Grassland/Savanna/Shrubland"
"9","Flooded Grassland/Savanna"
"10","Montane Grassland/Shrubland"
"12","Mediterranean Forest/Woodland/Scrub"
"13","Desert and Xeric Shrubland"
"14","Mangrove"
"98","Lake"
"11","Tundra"
"99","Rock and Ice"
